id,name,population,pm2022,rank,Latitude,Longitude
ALA,Åland,27385.0,3.97,59.0,60.250716,20.374146
AFG,Afghanistan,38341695.0,16.98,185.0,33.93911,67.709953
XAD,Akrotiri and Dhekelia,24062.0,13.42,155.0,,
ALB,Albania,3087971.0,12.6,148.0,41.153332,20.168331
DZA,Algeria,44081508.0,6.14,77.0,28.033886,1.659626
ASM,American Samoa,42424.0,1.4,11.0,-14.270972,-170.132217
AND,Andorra,85550.0,8.72,104.0,42.546245,1.601554
AGO,Angola,34602281.0,21.07,207.0,-11.202692,17.873887
AIA,Anguilla,17147.0,1.72,19.0,18.220554,-63.068615
ATG,Antigua and Barbuda,94964.0,1.79,21.0,17.060816,-61.796428
ARG,Argentina,46266318.0,12.44,145.0,-38.416097,-63.616672
ARM,Armenia,3008891.0,19.51,203.0,40.069099,45.038189
ABW,Aruba,115969.0,3.4,54.0,12.52111,-69.968338
AUS,Australia,25766691.0,3.36,52.0,-25.274398,133.775136
AUT,Austria,8913920.0,9.52,112.0,47.516231,14.550072
AZE,Azerbaijan,10276210.0,11.87,136.0,40.143105,47.576927
BHS,Bahamas,333580.0,3.11,48.0,25.03428,-77.39628
BHR,Bahrain,1379922.0,22.75,212.0,25.930414,50.637772
BGD,Bangladesh,166358337.0,54.17,245.0,23.684994,90.356331
BRB,Barbados,297472.0,2.0,26.5,13.193887,-59.543198
BLR,Belarus,9413449.0,9.84,117.0,53.709807,27.953389
BEL,Belgium,11846135.0,8.82,106.0,50.503887,4.469936
BLZ,Belize,395596.0,9.89,119.0,17.189877,-88.49765
BEN,Benin,13725762.0,17.31,188.0,9.30769,2.315834
BMU,Bermuda,66281.0,2.8,45.0,32.321384,-64.75737
BTN,Bhutan,870112.0,22.78,213.0,27.514162,90.433601
BOL,Bolivia,12054370.0,29.63,232.0,-16.290154,-63.588653
BES,Bonaire Sint Eustatius and Saba,22934.0,3.29,51.0,12.183333,-68.233333
BIH,Bosnia and Herzegovina,3806498.0,23.93,219.0,43.915886,17.679076
BWA,Botswana,2384063.0,12.47,146.0,-22.328474,24.684866
BRA,Brazil,216878372.0,12.06,140.0,-14.235004,-51.92528
VGB,British Virgin Islands,33469.0,1.52,13.0,18.420695,-64.639968
BRN,Brunei,470745.0,6.33,78.0,4.535277,114.727669
BGR,Bulgaria,6867646.0,18.86,198.0,42.733883,25.48583
BFA,Burkina Faso,21914677.0,8.66,103.0,12.238333,-1.561593
BDI,Burundi,12697469.0,34.04,239.0,-3.373056,29.918886
CIV,Côte d'Ivoire,28622030.0,10.45,126.0,7.539989,-5.54708
