Substance,Sector,Year,Value
CO2,Agriculture,2000,105.17549323877
CO2,Buildings,2000,3037.4407798141
CO2,Fuel Exploitation,2000,1941.6133018483
CO2,Industrial Combustion,2000,3874.763625685
CO2,Power Industry,2000,9375.5682339982
CO2,Processes,2000,1595.1901757739
CO2,Transport,2000,5781.0696545011
CO2,Waste,2000,14.6191347706
CH4,Agriculture,2000,3850.4598396162
CH4,Buildings,2000,291.00129617688
CH4,Fuel Exploitation,2000,2361.9217087485
CH4,Industrial Combustion,2000,12.268698241985
CH4,Power Industry,2000,5.9145628929596
CH4,Processes,2000,5.3002360870395
CH4,Transport,2000,34.432585037074
CH4,Waste,2000,1293.0748516613
F-gases,Processes,2000,591.3855213046
N2O,Agriculture,2000,1382.1201032534
N2O,Buildings,2000,65.522555883604
N2O,Fuel Exploitation,2000,4.7549466550695
N2O,Industrial Combustion,2000,16.285500505723
N2O,Power Industry,2000,67.685452334462
N2O,Processes,2000,309.26351273673
N2O,Transport,2000,73.618238888156
N2O,Waste,2000,84.696329843254
CO2,Agriculture,2001,106.63005964831
CO2,Buildings,2001,3073.5940347999
CO2,Fuel Exploitation,2001,1928.0719442462
CO2,Industrial Combustion,2001,3897.5487127821
CO2,Power Industry,2001,9580.1683559869
CO2,Processes,2001,1619.6838320914
CO2,Transport,2001,5810.0994401418
CO2,Waste,2001,15.37028720761
CH4,Agriculture,2001,3848.9005145368
CH4,Buildings,2001,288.1858998841
CH4,Fuel Exploitation,2001,2362.2593265065
CH4,Industrial Combustion,2001,12.23627420512
CH4,Power Industry,2001,6.1929559808793
CH4,Processes,2001,5.4077255918918
CH4,Transport,2001,33.610392433176
CH4,Waste,2001,1282.2890992362
F-gases,Processes,2001,593.98005925143
N2O,Agriculture,2001,1382.9126777053
N2O,Buildings,2001,65.21094519608
N2O,Fuel Exploitation,2001,4.9691310621445
N2O,Industrial Combustion,2001,16.211493539595
N2O,Power Industry,2001,65.182235955997
N2O,Processes,2001,299.70733029842
N2O,Transport,2001,75.045532072976
N2O,Waste,2001,86.036985256948
CO2,Agriculture,2002,111.6924684978
CO2,Buildings,2002,3074.2101182202
CO2,Fuel Exploitation,2002,1961.5363401757
CO2,Industrial Combustion,2002,3891.5410940084
CO2,Power Industry,2002,9718.8582112918
CO2,Processes,2002,1699.3051403233
CO2,Transport,2002,5961.7541913597
CO2,Waste,2002,14.392234897967
CH4,Agriculture,2002,3876.2231519184
CH4,Buildings,2002,290.07006266586
CH4,Fuel Exploitation,2002,2284.2093948325
CH4,Industrial Combustion,2002,12.314854136256
CH4,Power Industry,2002,6.5215978514636
CH4,Processes,2002,5.7013617976302
CH4,Transport,2002,33.781313532101
CH4,Waste,2002,1289.2018670408
F-gases,Processes,2002,662.81471098206
N2O,Agriculture,2002,1403.3496208897
N2O,Buildings,2002,64.827568249849
N2O,Fuel Exploitation,2002,5.0028489088455
N2O,Industrial Combustion,2002,16.2852287026
N2O,Power Industry,2002,62.406889770222
N2O,Processes,2002,287.41130830646
N2O,Transport,2002,78.237394876794
N2O,Waste,2002,87.192119650872
CO2,Agriculture,2003,113.05987306372
CO2,Buildings,2003,3176.9887999171
CO2,Fuel Exploitation,2003,2121.7639022207
CO2,Industrial Combustion,2003,4077.0960090739
CO2,Power Industry,2003,10275.47997721
CO2,Processes,2003,1789.8533836423
CO2,Transport,2003,6086.8987680804
CO2,Waste,2003,15.679906430787
CH4,Agriculture,2003,3912.4898744583
CH4,Buildings,2003,295.32909203712
CH4,Fuel Exploitation,2003,2447.6872172254
CH4,Industrial Combustion,2003,13.195703580882
CH4,Power Industry,2003,6.7991679110577
CH4,Processes,2003,6.0616666480851
CH4,Transport,2003,33.478939971901
CH4,Waste,2003,1309.1250333785
F-gases,Processes,2003,688.22354948421
N2O,Agriculture,2003,1421.2213684185
N2O,Buildings,2003,65.526959972036
N2O,Fuel Exploitation,2003,5.4794513216447
N2O,Industrial Combustion,2003,17.315077090016
N2O,Power Industry,2003,66.593716611078
N2O,Processes,2003,292.6726830996
N2O,Transport,2003,81.451740785008
N2O,Waste,2003,89.017382116933
CO2,Agriculture,2004,117.3733390504
CO2,Buildings,2004,3252.7490019802
CO2,Fuel Exploitation,2004,2133.3012971895
CO2,Industrial Combustion,2004,4508.7586996639
CO2,Power Industry,2004,10651.624403908
CO2,Processes,2004,1900.8733609775
CO2,Transport,2004,6369.2515297208
CO2,Waste,2004,14.814823895675
CH4,Agriculture,2004,3988.4726152874
CH4,Buildings,2004,298.01674120137
CH4,Fuel Exploitation,2004,2507.9841488452
CH4,Industrial Combustion,2004,14.698510459962
CH4,Power Industry,2004,7.2393317876284
CH4,Processes,2004,6.5197194218469
CH4,Transport,2004,33.594563790776
CH4,Waste,2004,1326.0428397976
F-gases,Processes,2004,757.64988948354
N2O,Agriculture,2004,1458.107258108
N2O,Buildings,2004,67.899600892837
N2O,Fuel Exploitation,2004,5.5392395977156
N2O,Industrial Combustion,2004,19.216650672955
N2O,Power Industry,2004,68.52015221849
N2O,Processes,2004,298.93618678783
N2O,Transport,2004,86.407241660136
N2O,Waste,2004,90.420347445388
CO2,Agriculture,2005,106.67652133829
CO2,Buildings,2005,3273.2207910939
CO2,Fuel Exploitation,2005,2200.2619580506
CO2,Industrial Combustion,2005,4925.6269899471
CO2,Power Industry,2005,10999.048908694
CO2,Processes,2005,2015.1640349542
CO2,Transport,2005,6510.4636985932
CO2,Waste,2005,14.080314531016
CH4,Agriculture,2005,4045.3827181786
CH4,Buildings,2005,300.02364994335
CH4,Fuel Exploitation,2005,2578.5217222213
CH4,Industrial Combustion,2005,15.975106830458
CH4,Power Industry,2005,7.6218470450127
CH4,Processes,2005,6.8183541382035
CH4,Transport,2005,33.501812301959
CH4,Waste,2005,1339.8710421806
F-gases,Processes,2005,805.54071817134
N2O,Agriculture,2005,1465.8477654576
N2O,Buildings,2005,69.503682857595
N2O,Fuel Exploitation,2005,5.795606936519
N2O,Industrial Combustion,2005,20.973052186151
N2O,Power Industry,2005,70.987100589571
N2O,Processes,2005,307.32520618603
N2O,Transport,2005,86.938272395393
N2O,Waste,2005,91.714046686965
CO2,Agriculture,2006,110.52961111054
CO2,Buildings,2006,3251.9994830675
CO2,Fuel Exploitation,2006,2256.7852621429
CO2,Industrial Combustion,2006,5167.7194816113
CO2,Power Industry,2006,11429.008274522
CO2,Processes,2006,2171.9560442092
CO2,Transport,2006,6662.1115593399
CO2,Waste,2006,14.985164374039
CH4,Agriculture,2006,4095.6013611578
CH4,Buildings,2006,301.47564036322
CH4,Fuel Exploitation,2006,2638.7952506458
CH4,Industrial Combustion,2006,16.746989118495
CH4,Power Industry,2006,7.8608212786535
CH4,Processes,2006,7.5177427525388
CH4,Transport,2006,32.379458942391
CH4,Waste,2006,1372.9886119328
F-gases,Processes,2006,775.44401663628
N2O,Agriculture,2006,1495.7409305933
N2O,Buildings,2006,70.009256822329
N2O,Fuel Exploitation,2006,5.8665155878821
N2O,Industrial Combustion,2006,22.102703028663
N2O,Power Industry,2006,73.842056398491
N2O,Processes,2006,305.74902239078
N2O,Transport,2006,90.674937953159
N2O,Waste,2006,93.827459347843
CO2,Agriculture,2007,113.64512523407
CO2,Buildings,2007,3252.4880482505
CO2,Fuel Exploitation,2007,2295.6611437282
CO2,Industrial Combustion,2007,5440.9763392753
CO2,Power Industry,2007,11922.191621651
CO2,Processes,2007,2322.3981399002
CO2,Transport,2007,6869.9945696558
CO2,Waste,2007,15.1597392676
CH4,Agriculture,2007,4144.4656301838
CH4,Buildings,2007,298.84182043793
CH4,Fuel Exploitation,2007,2629.2676827112
CH4,Industrial Combustion,2007,17.352478168749
CH4,Power Industry,2007,8.2928147672021
CH4,Processes,2007,8.054440825603
CH4,Transport,2007,31.691702039421
CH4,Waste,2007,1398.8050031964
F-gases,Processes,2007,778.59114076107
N2O,Agriculture,2007,1516.4042387505
N2O,Buildings,2007,69.193818220386
N2O,Fuel Exploitation,2007,6.3345239624678
N2O,Industrial Combustion,2007,22.912563199643
N2O,Power Industry,2007,79.39608070829
N2O,Processes,2007,316.46155151072
N2O,Transport,2007,94.249892249546
N2O,Waste,2007,96.110903408115
CO2,Agriculture,2008,111.19621098944
CO2,Buildings,2008,3324.8085756845
CO2,Fuel Exploitation,2008,2293.4450496328
CO2,Industrial Combustion,2008,5556.5298542611
CO2,Power Industry,2008,11922.311170303
CO2,Processes,2008,2332.8636721076
CO2,Transport,2008,6874.2039007591
CO2,Waste,2008,15.890915325162
CH4,Agriculture,2008,4216.6617619788
CH4,Buildings,2008,301.14613911834
CH4,Fuel Exploitation,2008,2671.2708741354
CH4,Industrial Combustion,2008,17.686067534375
CH4,Power Industry,2008,8.587018507792
CH4,Processes,2008,8.1200169752723
CH4,Transport,2008,31.98341024321
CH4,Waste,2008,1405.2029937736
F-gases,Processes,2008,758.37915358556
N2O,Agriculture,2008,1511.1849162383
N2O,Buildings,2008,69.321127501912
N2O,Fuel Exploitation,2008,6.6103959520446
N2O,Industrial Combustion,2008,23.341470850232
N2O,Power Industry,2008,78.066154601469
N2O,Processes,2008,294.88370253621
N2O,Transport,2008,95.630669730914
N2O,Waste,2008,97.999827602689
CO2,Agriculture,2009,121.92765310392
CO2,Buildings,2009,3263.235806618
CO2,Fuel Exploitation,2009,2277.3187664176
CO2,Industrial Combustion,2009,5545.0791838539
CO2,Power Industry,2009,11736.104198165
CO2,Processes,2009,2327.1375360755
CO2,Transport,2009,6734.5004504186
CO2,Waste,2009,15.374297716095
CH4,Agriculture,2009,4230.6331027678
CH4,Buildings,2009,299.47647623022
CH4,Fuel Exploitation,2009,2622.6715481553
CH4,Industrial Combustion,2009,17.281006764885
CH4,Power Industry,2009,8.8191743734073
CH4,Processes,2009,8.094751469915
CH4,Transport,2009,31.675891060064
CH4,Waste,2009,1411.8170649312
F-gases,Processes,2009,776.78392755215
N2O,Agriculture,2009,1548.1803408819
N2O,Buildings,2009,67.785047464351
N2O,Fuel Exploitation,2009,6.6643744828859
N2O,Industrial Combustion,2009,23.403040837552
N2O,Power Industry,2009,78.425125331999
N2O,Processes,2009,261.33239766446
N2O,Transport,2009,90.675312840361
N2O,Waste,2009,100.06704206101
CO2,Agriculture,2010,122.22554365007
CO2,Buildings,2010,3333.7344987404
CO2,Fuel Exploitation,2010,2397.1956618649
CO2,Industrial Combustion,2010,6089.3361913419
CO2,Power Industry,2010,12522.037998686
CO2,Processes,2010,2503.6160289575
CO2,Transport,2010,7019.7947623498
CO2,Waste,2010,15.701365614347
CH4,Agriculture,2010,4262.7946671217
CH4,Buildings,2010,300.43114731107
CH4,Fuel Exploitation,2010,2708.2538596713
CH4,Industrial Combustion,2010,18.735992641846
CH4,Power Industry,2010,9.896283761341
CH4,Processes,2010,9.2411051093729
CH4,Transport,2010,31.983677823627
CH4,Waste,2010,1431.2261249908
F-gases,Processes,2010,829.14653286575
N2O,Agriculture,2010,1554.8510760105
N2O,Buildings,2010,69.399011950327
N2O,Fuel Exploitation,2010,7.0587238313859
N2O,Industrial Combustion,2010,25.161835630861
N2O,Power Industry,2010,84.876799774714
N2O,Processes,2010,271.13476769198
N2O,Transport,2010,95.020315346038
N2O,Waste,2010,102.08941271945
CO2,Agriculture,2011,130.65426660736
CO2,Buildings,2011,3265.9646145715
CO2,Fuel Exploitation,2011,2413.0092254248
CO2,Industrial Combustion,2011,6316.5258413155
CO2,Power Industry,2011,13125.537411798
CO2,Processes,2011,2655.1715505953
CO2,Transport,2011,7136.2550238182
CO2,Waste,2011,16.456243691079
CH4,Agriculture,2011,4289.7106353715
CH4,Buildings,2011,294.74293695625
CH4,Fuel Exploitation,2011,2861.6977813138
CH4,Industrial Combustion,2011,19.232320012245
CH4,Power Industry,2011,10.223305692179
CH4,Processes,2011,10.056671482631
CH4,Transport,2011,31.670941787353
CH4,Waste,2011,1460.9381073924
F-gases,Processes,2011,875.51772483591
N2O,Agriculture,2011,1592.757421086
N2O,Buildings,2011,69.020954263171
N2O,Fuel Exploitation,2011,8.0355717722984
N2O,Industrial Combustion,2011,25.769492898808
N2O,Power Industry,2011,91.627897313171
N2O,Processes,2011,275.64686680857
N2O,Transport,2011,96.376030021082
N2O,Waste,2011,104.39745276245
CO2,Agriculture,2012,133.73971403003
CO2,Buildings,2012,3231.3640264447
CO2,Fuel Exploitation,2012,2463.4890742203
CO2,Industrial Combustion,2012,6335.9869310703
CO2,Power Industry,2012,13403.9608384
CO2,Processes,2012,2741.0926815476
CO2,Transport,2012,7196.357493429
CO2,Waste,2012,15.722919551811
CH4,Agriculture,2012,4318.2065820198
CH4,Buildings,2012,294.80563896324
CH4,Fuel Exploitation,2012,2899.8753805932
CH4,Industrial Combustion,2012,19.408248709517
CH4,Power Industry,2012,10.909186068482
CH4,Processes,2012,10.554538190156
CH4,Transport,2012,31.076409883795
CH4,Waste,2012,1474.6482011663
F-gases,Processes,2012,928.52581780471
N2O,Agriculture,2012,1604.7671215247
N2O,Buildings,2012,68.357007591047
N2O,Fuel Exploitation,2012,8.3306822432829
N2O,Industrial Combustion,2012,26.018651562916
N2O,Power Industry,2012,95.772273339071
N2O,Processes,2012,273.21482941612
N2O,Transport,2012,97.597352079264
N2O,Waste,2012,106.20808768307
CO2,Agriculture,2013,137.27967050997
CO2,Buildings,2013,3349.8733146183
CO2,Fuel Exploitation,2013,2504.3439997407
CO2,Industrial Combustion,2013,6363.8030703395
CO2,Power Industry,2013,13643.025526534
CO2,Processes,2013,2823.5336121715
CO2,Transport,2013,7381.1458380671
CO2,Waste,2013,18.133249960897
CH4,Agriculture,2013,4352.701060593
CH4,Buildings,2013,295.21435645736
CH4,Fuel Exploitation,2013,2855.3718909064
CH4,Industrial Combustion,2013,19.509663639666
CH4,Power Industry,2013,11.204489358115
CH4,Processes,2013,11.130683364233
CH4,Transport,2013,30.623436972054
CH4,Waste,2013,1505.2476699664
F-gases,Processes,2013,972.36870854789
N2O,Agriculture,2013,1630.4964997681
N2O,Buildings,2013,68.65376741766
N2O,Fuel Exploitation,2013,8.5057477930327
N2O,Industrial Combustion,2013,26.236427322077
N2O,Power Industry,2013,99.801761944428
N2O,Processes,2013,273.43908379533
N2O,Transport,2013,97.850521826513
N2O,Waste,2013,108.4050542606
CO2,Agriculture,2014,134.22649009448
CO2,Buildings,2014,3292.2418000529
CO2,Fuel Exploitation,2014,2467.0433370101
CO2,Industrial Combustion,2014,6427.7681936152
CO2,Power Industry,2014,13701.006520729
CO2,Processes,2014,2885.7363588855
CO2,Transport,2014,7503.5417984359
CO2,Waste,2014,16.205214125057
CH4,Agriculture,2014,4368.9245680087
CH4,Buildings,2014,293.98424868339
CH4,Fuel Exploitation,2014,2881.4391459694
CH4,Industrial Combustion,2014,19.58729997593
CH4,Power Industry,2014,11.597920369669
CH4,Processes,2014,12.25882348063
CH4,Transport,2014,30.394930919341
CH4,Waste,2014,1532.0656420438
F-gases,Processes,2014,1040.052620579
N2O,Agriculture,2014,1623.8733334291
N2O,Buildings,2014,68.861074837547
N2O,Fuel Exploitation,2014,8.1291605230174
N2O,Industrial Combustion,2014,26.293519479048
N2O,Power Industry,2014,101.88901444465
N2O,Processes,2014,273.41981539607
N2O,Transport,2014,99.421617223437
N2O,Waste,2014,110.21438820201
CO2,Agriculture,2015,137.43084225837
CO2,Buildings,2015,3317.8200364383
CO2,Fuel Exploitation,2015,2538.3156696475
CO2,Industrial Combustion,2015,6291.9303663681
CO2,Power Industry,2015,13402.260198592
CO2,Processes,2015,2857.5097712102
CO2,Transport,2015,7737.7494059046
CO2,Waste,2015,17.450160538077
CH4,Agriculture,2015,4394.8556578399
CH4,Buildings,2015,290.19724294303
CH4,Fuel Exploitation,2015,2849.8315430859
CH4,Industrial Combustion,2015,19.418573387676
CH4,Power Industry,2015,11.914122161422
CH4,Processes,2015,12.098002625449
CH4,Transport,2015,29.839594712135
CH4,Waste,2015,1566.7829782246
F-gases,Processes,2015,1004.9754241142
N2O,Agriculture,2015,1639.4004517749
N2O,Buildings,2015,67.796119310809
N2O,Fuel Exploitation,2015,8.1486005516578
N2O,Industrial Combustion,2015,25.972492557219
N2O,Power Industry,2015,102.26768738856
N2O,Processes,2015,271.34671066832
N2O,Transport,2015,101.04622613416
N2O,Waste,2015,112.40929803796
CO2,Agriculture,2016,136.8817328558
CO2,Buildings,2016,3350.0714299494
CO2,Fuel Exploitation,2016,2453.051282191
CO2,Industrial Combustion,2016,6149.8989023546
CO2,Power Industry,2016,13456.932307012
CO2,Processes,2016,2972.8518647119
CO2,Transport,2016,7886.8116179103
CO2,Waste,2016,17.161561912435
CH4,Agriculture,2016,4439.1434532616
CH4,Buildings,2016,287.28460882097
CH4,Fuel Exploitation,2016,2829.895699675
CH4,Industrial Combustion,2016,19.001589570044
CH4,Power Industry,2016,12.750300925762
CH4,Processes,2016,12.734886101522
CH4,Transport,2016,29.455929553345
CH4,Waste,2016,1598.1263913911
F-gases,Processes,2016,1053.7428324313
N2O,Agriculture,2016,1657.2316100145
N2O,Buildings,2016,67.00487508621
N2O,Fuel Exploitation,2016,7.8774440773674
N2O,Industrial Combustion,2016,25.482275487393
N2O,Power Industry,2016,106.67081010177
N2O,Processes,2016,271.19452584958
N2O,Transport,2016,102.44887676757
N2O,Waste,2016,114.73444817926
CO2,Agriculture,2017,134.63019043044
CO2,Buildings,2017,3421.0282003883
CO2,Fuel Exploitation,2017,2513.8814408078
CO2,Industrial Combustion,2017,6078.265669529
CO2,Power Industry,2017,13770.780133527
CO2,Processes,2017,3032.3112800219
CO2,Transport,2017,8079.3397797349
CO2,Waste,2017,17.235336853469
CH4,Agriculture,2017,4461.5071808602
CH4,Buildings,2017,288.44304927423
CH4,Fuel Exploitation,2017,2898.5294624708
CH4,Industrial Combustion,2017,18.817031957275
CH4,Power Industry,2017,13.342678685458
CH4,Processes,2017,13.192430110479
CH4,Transport,2017,29.048562716117
CH4,Waste,2017,1633.5387771189
F-gases,Processes,2017,1112.4227863971
N2O,Agriculture,2017,1656.2839203034
N2O,Buildings,2017,67.871469813813
N2O,Fuel Exploitation,2017,7.8495324175942
N2O,Industrial Combustion,2017,25.123604691859
N2O,Power Industry,2017,110.20332245093
N2O,Processes,2017,273.21690578964
N2O,Transport,2017,105.031231865
N2O,Waste,2017,116.83983041278
CO2,Agriculture,2018,135.0334713975
CO2,Buildings,2018,3434.2087604974
CO2,Fuel Exploitation,2018,2577.4326605267
CO2,Industrial Combustion,2018,6213.4404598561
CO2,Power Industry,2018,14217.022443243
CO2,Processes,2018,3105.9104092664
CO2,Transport,2018,8273.9331699722
CO2,Waste,2018,17.572511585041
CH4,Agriculture,2018,4468.0321511045
CH4,Buildings,2018,284.0511264044
CH4,Fuel Exploitation,2018,3003.1790156607
CH4,Industrial Combustion,2018,18.844428099545
CH4,Power Industry,2018,13.882775256942
CH4,Processes,2018,13.711025490545
CH4,Transport,2018,28.832277483228
CH4,Waste,2018,1674.5618082714
F-gases,Processes,2018,1171.5030752092
N2O,Agriculture,2018,1654.8420259176
N2O,Buildings,2018,68.006143967643
N2O,Fuel Exploitation,2018,7.9581055671978
N2O,Industrial Combustion,2018,25.020218105041
N2O,Power Industry,2018,117.09767739277
N2O,Processes,2018,276.95414673961
N2O,Transport,2018,106.86242438596
N2O,Waste,2018,118.73513762236
CO2,Agriculture,2019,140.31844698486
CO2,Buildings,2019,3379.6728842554
CO2,Fuel Exploitation,2019,2710.3191605016
CO2,Industrial Combustion,2019,6249.9279989371
CO2,Power Industry,2019,14088.010102935
CO2,Processes,2019,3198.0107791904
CO2,Transport,2019,8282.4787503174
CO2,Waste,2019,17.696023208768
CH4,Agriculture,2019,4468.9340809336
CH4,Buildings,2019,280.3928255696
CH4,Fuel Exploitation,2019,3053.1066449546
CH4,Industrial Combustion,2019,18.789718431082
CH4,Power Industry,2019,14.268436975484
CH4,Processes,2019,14.439057735397
CH4,Transport,2019,29.517878596405
CH4,Waste,2019,1704.6549306177
F-gases,Processes,2019,1220.6834607721
N2O,Agriculture,2019,1681.5975392688
N2O,Buildings,2019,67.485973705224
N2O,Fuel Exploitation,2019,8.1267544644202
N2O,Industrial Combustion,2019,24.786832237839
N2O,Power Industry,2019,119.78914606587
N2O,Processes,2019,276.56387760464
N2O,Transport,2019,108.51665341729
N2O,Waste,2019,120.25996207163
CO2,Agriculture,2020,146.29699882745
CO2,Buildings,2020,3322.8457164699
CO2,Fuel Exploitation,2020,2550.7334735652
CO2,Industrial Combustion,2020,6194.0104671055
CO2,Power Industry,2020,13593.464512181
CO2,Processes,2020,3236.3421331981
CO2,Transport,2020,7092.9024723669
CO2,Waste,2020,17.712269990473
CH4,Agriculture,2020,4536.2438534397
CH4,Buildings,2020,279.23240956144
CH4,Fuel Exploitation,2020,2866.5114535846
CH4,Industrial Combustion,2020,18.788386905443
CH4,Power Industry,2020,14.466083724285
CH4,Processes,2020,14.396234299784
CH4,Transport,2020,27.108615978945
CH4,Waste,2020,1731.9386839864
F-gases,Processes,2020,1272.7991521374
N2O,Agriculture,2020,1712.6665398436
N2O,Buildings,2020,66.081942603491
N2O,Fuel Exploitation,2020,7.6399599658278
N2O,Industrial Combustion,2020,24.770081038876
N2O,Power Industry,2020,115.82486938947
N2O,Processes,2020,265.66075301111
N2O,Transport,2020,97.037530663097
N2O,Waste,2020,122.06429136529
CO2,Agriculture,2021,143.24964284068
CO2,Buildings,2021,3375.4725666543
CO2,Fuel Exploitation,2021,2620.8725047
CO2,Industrial Combustion,2021,6341.3557338322
CO2,Power Industry,2021,14655.450458618
CO2,Processes,2021,3332.1697036905
CO2,Transport,2021,7634.7049510285
CO2,Waste,2021,17.739419220751
CH4,Agriculture,2021,4571.4877888852
CH4,Buildings,2021,279.33083595892
CH4,Fuel Exploitation,2021,2974.0332060674
CH4,Industrial Combustion,2021,18.952470601279
CH4,Power Industry,2021,15.563469027661
CH4,Processes,2021,14.999462665412
CH4,Transport,2021,28.848648872301
CH4,Waste,2021,1770.0562398453
F-gases,Processes,2021,1333.2424283328
N2O,Agriculture,2021,1708.491047618
N2O,Buildings,2021,67.915327905093
N2O,Fuel Exploitation,2021,7.8450320620935
N2O,Industrial Combustion,2021,25.005835831015
N2O,Power Industry,2021,127.51599704436
N2O,Processes,2021,276.41538547342
N2O,Transport,2021,103.75021525873
N2O,Waste,2021,123.78166007143
CO2,Agriculture,2022,143.0920588532
CO2,Buildings,2022,3385.6334190255
CO2,Fuel Exploitation,2022,2619.237843634
CO2,Industrial Combustion,2022,6223.6064675772
CO2,Power Industry,2022,14693.366675886
CO2,Processes,2022,3220.3261935562
CO2,Transport,2022,7943.5014030552
CO2,Waste,2022,17.859999240217
CH4,Agriculture,2022,4598.6094879956
CH4,Buildings,2022,277.32741588242
CH4,Fuel Exploitation,2022,3111.8307495654
